제목,작성 날짜,주최사,활동내용,모집 기간,모집 인원,모집 대상,참가 비용 유/무,우대 사항,활동 지역,활동 기간
 [아띠펜도]D-1일요일에 같이 봉사할래?봉사팀 아띠펜도 12기 회원 모집(~8/8),20180807,아띠펜도 봉사팀,승가원에서 장애아동친구들과 함께하는 정기봉사와정기 봉사시간 내에 아띠펜도에서 직접 기획하고 준비하여 진행하는 기획봉사로 활동하고 있습니다!!봉사 후에는 아띠펜도의 친목을 다질 수 있는 꿀맛 저녁식사까지 최고최고시험기간에는 잠시 활동을 중지하니 부담 갖지 말고 지원해주세요!8월 18일 토요일 아띠펜도 OT가 예정되어 있습니다. 필참이니 참고해주세요.,8월 8일 수요일 오후 8시까지,10명,20대 봉사에 관심과 열정이 있으신 누구나 지원 가능합니다! 재학생 휴학생 졸업생 상관 없습니다,연 회비 2만원으로 봉사기획 지원비로 사용됩니다.,봉사에 관심 있고일요일에 시간 여유가 있으신 분!!성실하게 봉사에 참여해주실 모든 분 환영합니다 :),서울 성북구 안암역 10분거리 승가원 장애아동시설,2018년 12월까지(연장 가능)
 [CJ나눔재단] CJ도너스캠프 대학생봉사단 2기 모집(~8/12),20180807,CJ나눔재단," 창의학교 : 문화/예술 교육멘토링(초등학생 대상), 주 1회 2.5시간 공부방 방문 교육진행(총 12회), 12월 말 창의학교 스테이지 준비 인성학교 : 9~12월 프로그램 기획/운영 준비 회의 및 활동(월 2회) 및 CJ도너스캠프 아우름 프로젝트 연계 프로그램 개발/운영, 10월 말 가족인성학교 참여  기자단 : 창의학교, 인성학교 활동 현장 취재 및 월별 컨텐츠 제작 및 발행"," 8/12(일) 24시까지모집 대상(+졸업생 가능여부) 전국 대학생(재학생, 휴학생), 대학원생참가 비용 유/무 참가비용 없음활동 지역 창의학교 : 전국 도너스캠프 공부방(주로 수도권, 창의학교 전남 제외) 인성학교 : CJ 인재원, 인생학교 서울, 캠프 지역 기자단 : CJ 인재원, 각 촬영 지역활동 기간 8/24 ~ 8/27(발대식, 입문교육) 9~12월(봉사단 활동)활동 혜택 CJ도너스캠프 대학생봉사단 활동비 지급 CJ도너스캠프 대학생봉사단 활동 KIT 제공 CJ임직원 및 분야 전문가 멘토링 기회 제공 CJ문화체험(공연, 뮤지컬, 페스티벌 등), 사업장 방문 체험 기회 제공 우수활동 봉사자 CJ글로벌 봉사 및 문화체험 프로그램 참여 제공오프라인 모임 횟 수 (월 x회) 창의학교 : 월 4~5회(공부방 수업) 기자단, 인성학교 : 월 2~3회지원하는 방법 http://bit.ly/2KnLWvn공식 카페/블로그 및 SNS CJ도너스캠프 홈페이지 : https://www.donorscamp.org CJ도너스캠프 블로그: https://blog.naver.com/donorscamp05 CJ도너스캠프 페이스북: https://www.facebook.com/cjdonorscamp CJ도너스캠프 인스타그램 : https://www.instagram.com/cjdonorscamp기타 문의사항 CJ도너스캠프 대학생봉사단 담당자 : 0222803123 / 0222803158로 연락(평일 아침 9시부터 오후 6시)< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A. 비공개Q. 필요 역량 및 우대 사항은 뭔가요?A. 아이들을 사랑하는 마음과 성실함을 가진 분이면 모두 환영합니다!Q. 서류/면접전형 주의사항이 있다면?A. 서류를 8월 12일(일) 24:00시 이전까지 제출하셔야 되는거 아시죠? 1분만 늦어도 제출이 불가능합니다. ※지원서 작성 시 페이스북 회원으로 로그인 된 분들은 반드시 마이페이지에서 일반회원으로 전환 후 지원 부탁드립니다!Q. 구체적으로 어떤 활동 하나요?A. 창의학교의 경우 아이들과의 교육 멘토링과 스태프 참여, 인성학교의 경우 캠프 기획, 운영 담당, 기자단의 경우 활동 취재 및 SNS컨텐츠 제작Q. 우리 활동, '이것' 만큼은 꼭 자랑하고 싶다!A. 100명이 넘는 다양한 사람들을 만날 수 있는 기회, CJ만이 제공 할 수 있는 문화체험 혜택, 잊을 수 없는 아이들과의 추억!Q. 지원 망설이는 분들에게 한 마디 해주신다면!A. 우선 시작해!CJ도너스캠프 대학생봉사단 2기 지원 > http://bit.ly/2KnLWvn",," 전국 대학생(재학생, 휴학생), 대학원생"," 참가비용 없음활동 지역 창의학교 : 전국 도너스캠프 공부방(주로 수도권, 창의학교 전남 제외) 인성학교 : CJ 인재원, 인생학교 서울, 캠프 지역 기자단 : CJ 인재원, 각 촬영 지역활동 기간 8/24 ~ 8/27(발대식, 입문교육) 9~12월(봉사단 활동)활동 혜택 CJ도너스캠프 대학생봉사단 활동비 지급 CJ도너스캠프 대학생봉사단 활동 KIT 제공 CJ임직원 및 분야 전문가 멘토링 기회 제공 CJ문화체험(공연, 뮤지컬, 페스티벌 등), 사업장 방문 체험 기회 제공 우수활동 봉사자 CJ글로벌 봉사 및 문화체험 프로그램 참여 제공오프라인 모임 횟 수 (월 x회) 창의학교 : 월 4~5회(공부방 수업) 기자단, 인성학교 : 월 2~3회지원하는 방법 http://bit.ly/2KnLWvn공식 카페/블로그 및 SNS CJ도너스캠프 홈페이지 : https://www.donorscamp.org CJ도너스캠프 블로그: https://blog.naver.com/donorscamp05 CJ도너스캠프 페이스북: https://www.facebook.com/cjdonorscamp CJ도너스캠프 인스타그램 : https://www.instagram.com/cjdonorscamp기타 문의사항 CJ도너스캠프 대학생봉사단 담당자 : 0222803123 / 0222803158로 연락(평일 아침 9시부터 오후 6시)< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A. 비공개Q. 필요 역량 및",," 창의학교 : 전국 도너스캠프 공부방(주로 수도권, 창의학교 전남 제외) 인성학교 : CJ 인재원, 인생학교 서울, 캠프 지역 기자단 : CJ 인재원, 각 촬영 지역"," 8/24 ~ 8/27(발대식, 입문교육) 9~12월(봉사단 활동)"
" [의료봉사, 보건교육봉사] 비영리민간의료단체 프리메드에서 함께 할 19기를 모집합니다! (~08/24)",20180807,비영리민간의료단체 FREEMED,"1) 무료진료소, 보건교육봉사 또는 해외의료사업 2) 각 팀별 NGO 운영 활동",2018. 08. 05(일) ~ 2018. 08. 24(금) 오후 6시 지원서 접수 마감,각 본부 및 팀별 상이 (첨부파일 참고)," 나이, 전공 무관(재·휴학, 수료, 졸업 등 학적 여부 무관) 1년 이상 활동 가능한 자 매주 토요일, 일부 평일 저녁 시간대 활동 참여 혹은 재택 업무 수행 가능한 자 (소속 사업 및 운영팀 따라 활동시간 상이할 수 있음)",,첨부파일에 '신입 단원 공개 선발 안내문'을 참고해주세요,서울 지역,2018년 9월 ~ 2019년 9월 (2018년 9월은 수습기간으로 활동)
 즐거운 봉사하러 가즈아! 남서로타랙트(8/1~8/15),20180807,국제로타리 3640지구 남서 로타랙트,"안녕하세요! 저희는 20세부터 만31세까지 남녀 누구나 함께 봉사활동을 하며 친목을 다지는 봉사 동아리, 남서 로타랙트입니다^^로타랙트는 국제 로타리 클럽의 후원을 받는 국제봉사단체인데요. 로타리 클럽은 한국에 17개의 지구가 있으며저희 '남서 로타랙트'는 그 중 서울 3640 지구에 속해있는 서울 남서 로타리 클럽의 후원을 받고 있습니다.현재는 서울시 강동구 암사동에 위치한 암사 재활원 이라는 중증 장애인 시설에서귀여운 아이들과 함께 놀이활동, 식사보조, 청소와 같은 봉사활동을 한 달에 한 번정기적으로 하고 있답니다ㅎㅎ또 서울 3640지구에는 저희 남서 로타랙트 클럽 말고도 9개의 클럽이 더 있어서다양한 종류의 봉사활동을 연합해서 함께 하고 있습니다^^정기 봉사활동장소: 서울시 강동구 암사동 암사재활원 센터(암사역 1번출구)시간: 매달 넷째 주 일요일 오전 10시 ~ 오후 1시봉사활동내용: 중증 장애를 가진 어린 아이들과 놀이 활동, 식사 보조, 청소장소: 서울특별시 영등포구 영등포동 3가 6번지, 영등포시장 지하쇼핑센터 1번출구시간: 매달 셋째 주 토요일 오전 10시 ~ 오후 2시봉사활동내용 : 독거노인분들을 대상으로 배식, 주방보조, 설거지, 테이블 세팅 등의 봉사지구 연합 봉사활동정기적으로 '생명사랑밤길걷기(범국민 자살예방 캠페인)', 사랑나눔 연탄봉사활동, 김장봉사활동 등다양한 연합 봉사를 진행하고 있습니다.타 클럽 봉사 교류 활동3640지구 내 10개의 클럽과 봉사활동 교류를 활발히 펼치고 있습니다.친목 활동 및 행사매년 3640지구 내 로타랙트 인들과 화합, 친목을 위해 '지구대회'라는 행사를 진행하고 있으며그 밖에도 MT, 번개, APRRC(해외 로타랙트 교류 행사), RYLA(리더십 연수 프로그램) 등행사를 통해 다양한 사람들과의 인맥을 넓힐 수 있습니다.",2018년 08월 1일(수) ~ 2018년 08월 15일(수) 입니다.,인원 제한은 없습니다.,"서울에서 활동 가능한 20세 ~ 만 31세 남녀 누구나!대학생, 대학원생, 직장인 모두 함께해요!동아리 활동에 성실하게 참여해 주실 분들은 더더욱 환영합니다! 졸업생 가능 여부만20세~ 만 31세 남녀라면 재학생, 졸업생, 직장인 관계없이 모두 가능합니다.",,,서울,2018년 8월 26일(일)부터(이 날 정기 봉사활동이 예정되어 있습니다)
 [서울청소년수련관] 당일형 임원 리더십캠프 자원지도자 모집,20180807,서울특별시립 서울청소년수련관,"임원청소년 대상 팀빌딩활동 진행, 소그룹활동 모둠지도, 활동지도 STAFF 등",~8.15 (수),"남자 3명, 여자 3명", 졸업생 가능, 무," 관련 학과(사회복지, 청소년지도) 재학생 우대",서울청소년수련관(서울시 중구 을지로11길 23) 및 해당학교 강당(서울 소재), 오리엔테이션 : 8월 17일(금) /10:0018:00 1차 : 8월 24일(금) / 14:0019:00 (5시간) 2차 : 8월 31일(금) / 10:0015:00 (5시간) 3차 : 9월 7일(금) / 14:3018:30(4시간) 4차 : 9월 8일(토) / 10:0015:00 (5시간) 5차 :9월 20일(목) / 14:3017:30 (3시간)
 [대학문화네트워크] 제17회 대학로문화축제 자원활동가 모집 (~8/24),20180807,[대학문화네트워크] 제17회 대학로문화축제 자원활동가 모집,"축제 운영 지원 및 진행 스태프, 온라인 서포터즈",8.24(금)까지,100명(선착순 마감),대학생 (졸업생 불가),무,,서울 종로구 대학로,"9/1(토), 29~30(토,일) / SNS기자단의 경우 9월 한 달"
" [D-3] 대학생 연합 토론교육봉사단체 ""대풍단"" 7기 모집(~8/10)",20180807,한국 청소년 문화진흥협회,"서울지역 3개 지부(수유, 홍대, 건대) 지역아동센터에서 토론교육 봉사를 실시(주 1회)전국토론대회에서 심사위원이나 토론 진행을 맡는 퍼실리테이터로 위촉되어 활동(매 학기 1회)프로그램 제작팀, 기획팀, 인프라 구축팀에 소속되어 팀 활동 진행매월 마지막 주 토요일 총회 진행토론활동지도사 3급 자격증 취득을 위한 자격증 교육 이수",7월 16일~8월 10일,00명,"토론을 좋아하고 교육을 사랑하는 휴학생, 재학생","한 학기 활동비 2만원 (MT 비용은 별도입니다)활동 지역수유 지부, 홍대(망원) 지부, 건대 지부활동 기간1년활동 혜택토론활동지도사 3급 자격증봉사시간오프라인 모임 횟 수 (월 x회)월 1회 이상매월 마지막 주 토요일 정기 총회팀 활동지원하는 방법(1) https://cafe.naver.com/daepoogdan/308 에서 지원서를 다운 받아주세요게시글 상단에 첨부파일 있습니다(2) 지원서 작성 후 dmstjs2009@gmail.com 으로 제출해 주세요공식 카페/블로그 및 SNS네이버 카페https://m.cafe.naver.com/daepoogdan페이스북https://www.facebook.com/%EB%8C%80%ED%95%99%EC%83%9D%ED%92%8D%EB%8E%85%EC%9D%B4%EB%B4%89%EC%82%AC%EB%8B%A8%EB%8C%80%ED%92%8D%EB%8B%A81414691041889091/모집일정1. 모집기간  7월 16일~8월 10일 2. 서류발표  8월 13일2. 면접일시  8월 16일~17일3. 합격자 발표  8월 18일 토요일< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A. 3대 1이었습니다Q. 필요 역량 및",,"수유 지부, 홍대(망원) 지부, 건대 지부",1년
" 아름다운가게 종로책방, 세종로책방(광화문) 2학기 정기 자원봉사자 모집 (~9.2)",20180807,름다운가게 책방, 기증품(책/음반) 관리 책방 매장 운영 도서 문화 관련캠페인,~9.2 (모집 완료시 조기 마감),하단 상세 내용 참고,"대학생/졸업생/취업준비생/직장인/외국인졸업생 가능 여부 (O,X)O",없음,휴학생 우대,"1. 아름다운가게 종로책방: 서울 1호선 종각역 4번출구 스타벅스 종각점 지하 1층 / 종로구 종로 64 백합빌딩 b12. 아름다운가게 세종로(광화문)책방: 광화문역, 세종문화회관 바로 옆 / 종로구 세종대로 189 세종로공원 지하 1층",1. 종로책방: 18년 9월 3일 ~ 12월31일2. 세종로(광화문)책방: 18년 9월 3일 ~ 12월23일* 활동기간 종료 후다음 기수(겨울방학)연장 활동 가능.(본인 선택)* 연장 활동 시스케줄(요일/시간 변경 가능)
 [아띠펜도]일요일에 시간 어때요? 봉사팀 아띠펜도 12기 회원 모집(~8/8),20180806,아띠펜도 봉사팀,승가원에서 장애아동친구들과 함께하는 정기봉사와정기 봉사시간 내에 아띠펜도에서 직접 기획하고 준비하여 진행하는 기획봉사로 활동하고 있습니다!!봉사 후에는 아띠펜도의 친목을 다질 수 있는 꿀맛 저녁식사까지 최고최고시험기간에는 잠시 활동을 중지하니 부담 갖지 말고 지원해주세요!8월 18일 토요일 아띠펜도 OT가 예정되어 있습니다. 필참이니 참고해주세요.,8월 8일 수요일 오후 8시까지,10명,20대 봉사에 관심과 열정이 있으신 누구나 지원 가능합니다! 재학생 휴학생 졸업생 상관 없습니다,연 회비 2만원으로 봉사기획 지원비로 사용됩니다.,봉사에 관심 있고일요일에 시간 여유가 있으신 분!!성실하게 봉사에 참여해주실 모든 분 환영합니다 :),서울 성북구 안암역 10분거리 승가원 장애아동시설,2018년 12월까지(연장 가능)
  청년365에서 교육봉사 대학생 멘토들을 모집합니다.(~8.16),20180806,법인 청년365,1.저소득층가정아이들과1:1멘토링,~2018년8월 16일,00명,교육봉사 활동에 관심있는 모든 청년,무,없음,서울,2018년9월~ 2018년12월
 [국내봉사 D-2] 봉.알.못.도 대환영!! 승가원에서 신입 봉사자분들을 모집해요(~8/8),20180806,승가원봉사단,"서울시 성북구 안암동에 위치한 승가원에서 장애아동 친구들과놀이, 식사, 목욕활동 등 도우며봉사하고있습니다!봉사자들간 친목을 쌓을 수 있는 시간도 많이 마련하고 있으니 승가원에서 봉사와 친목 모두 얻어가세요~!!♡시험기간인 주에는 활동을 잠시 중단하니 부담없이 지원해주세요!같이 와서 봉사하고 좋은 사람들과 시간 보내요♥",2018.08.08 (수) 오후 8시까지 !!!,12명,"봉사에 관심있는 모든 20대 가능합니다~!매달 홀수(1,3,5)주 일요일 오후 2~6시 봉사 가능하신 분 지원부탁드려요",연 회비 2만원,일요일에 시간 여유가 있으신 분들!봉사매니아 분들!봉사를 여태껏 안해봤지만 이제는 참여하고픈 분들!모두 지원해주세요 ☆,서울시 성북구 안암동 승가원(안암역에서 도보 7분 거리에 위치),2018년 12월까지
