,제목,활동처명,활동장소,봉사내용,모집 시작일,모집 마감일,활동 기간,생활 편의,국제 협력,환경,인권,재해/재난,농어촌,주거 환경,보건 의료,교육,행정 지원,상담,문화,체육,역사,동아리,여행,홍보,사회공헌,기획,언어,현장,기타,장애인,노인,외국인,노숙인,다문화가정,노동자,유아,여성,쪽방촌,청소년,지역사회,광역시/도,시/군/구,주소,위도,경도
10,(대학생)송양유치원 내 물놀이 활동 보조,송양유치원,송양유치원(의정부시 민락로 243번길 94),"# 꼭!!!참석이 가능한 분만 신청해주세요
# 복장은 단정하게!! 활동이 편안한 복장으로 착용해주세요(물에 젖을 수 있으므로 슬리퍼 또는 샌들 착용)
# 봉사시간은 활동에 따라 추가로 적용될 수 있습니다.

-일시: 8.9(목), 14(화), 16(목), 17(금) 10:00~12:00 (집결시간: 9:40까지)
-장소: 송양유치원 내 물놀이장(의정부시 민락로 243번길 94)
-내용: 유치원 내 원생 물놀이 활동 보조, 물놀이 종료 후 아동 옷 입히기 보조 등
-문의: 활동관리팀 명덕재(031-850-5745)

# 아동 활동보조인 만큼 꼭!! 참석이 가능해야합니다. 활동 전에 문자안내 할 예정입니다.",20180717,20180802,20180809 ~ 20180817,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,경기도,의정부시,"경기도 의정부시 경의로 118번길 49, 3층 ",37.7314826,127.04931850000001
11,"[양천구자원봉사센터] 이웃 간 1한마디 인사, 안부 건네기 안녕하세요 캠페인",서울특별시 양천구,"양천구자원봉사센터, 양천구 관내 다중이용시설","양천구 자원봉사센터는 ""안녕하세요"" 캠페인을 실시합니다.

●일시 : 8월 3일(금), 10일(금), 17일(금) 10:00~12:00 (중복참여불가)
●자격 : 초,중,고 청소년(교육 전 V세상 가입 필수) https://volunteer.seoul.kr/home->개인 회원가입 
●모집 : 30명/1일
●장소 : 양천구자원봉사센터 3층 나눔방(사전교육) 및 양천구 관내(개별진행, 캠페인)

●활동내용 
1. 이웃 간 1한마디 캠페인 안녕하세요 사전 교육 1시간 
2. 교육 후 개별적으로 캠페인/미션수행, 활동후기(사진필수) V세상에 작성 1시간 
(캠페인은 개별적으로 진행, 오프라인으로는 이웃에게 먼저 인사하기 / 온라인으로는 안부묻기)

●봉사시간 : 사전교육 1시간, 캠페인(미션수행, 활동후기 V세상에 작성) 1시간 총 2시간 인정 
(사전교육 1시간은 사전교육 후 캠페인(미션수행, 활동후기 작성)을 해야만 인정. 사전교육 후 캠페인 미진행시 사전교육 1시간도 인정X)",20180724,20180802,20180803 ~ 20180817,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,서울특별시,양천구,서울특별시 양천구 중앙로 250 2층 양천구자원봉사센터,37.5168721,126.86639850000002
12,부산시민공원 자원봉사(평일 오후)_★공지사항 필독 않을시 책임지지 않음,부산광역시,부산시민공원,"1. 일 시 : 2018. 8. 6(월) ~ 8. 10(금), 오후 14:00~16:00 2. 장 소 : 방문자센터내 자원봉사캠프(지하1층) 3. 내 용 : 공원내 방문객 안내, 환경정화활동 등 4. 문 의 : 051-850-6057, 051-864-1365 ★ 중학생 이상만 활동 참여 가능 ★ 단정한 복장(짧은 반바지×, 슬리퍼×)★ 사전 연락없이 불참할 경우 향후 활동 신청시 3개월간 사전 예고없이 반려합니다. 불참하게 될 경우 나의 메뉴에서 신청 취소를 해주시고 승인된 이후는 센터 전화주세요 ★ 봉사 시작 시간 10분 전 까지 자원봉사캠프에 도착하여 출석 확인해야 합니다. 또 정해진 시간에 봉사 시작하므로 늦게 올 경우 봉사에 참석하지 못할 수도 있으니 유념해 주시기 바랍니다. ★ 환경정화활동을 할 예정이니 체력이 약한 분은 신청 자제(모자,생수,장갑 지참요망) ★ 주말 활동은 1365를 통한 신청자만 활동 가능. 평일은 14시 이전까지 캠프 방문하셔야 활동 가능 ★ 우천시 별도 연락없이 취소됨. ★ 봉사활동 전·후 출석 체크 필수(2회 출석 체크 안되면 실적 불가) ★ 1일 봉사활동 인정 시간은 최대 2시간임 (오전, 오후 중 1회만 참여 가능) ★ 소지품과 가방은 분실의 위험으로 캠프내 보관이 불가함. 개인 소지품과 가방은 최소화 요망",20180730,20180802,20180806 ~ 20180810,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,부산광역시,,부산광역시 부산진구 중앙대로 955 10층,35.1753165,129.07265
13,동구마루지킴이 대청소 프로젝트,사)국제공예문화총연합회광주지부다모아봉사단,"동구마루(경양로 305번길 3, 산수동)","모집인원 : 15명
모집대상 : 고등학생 2학년이상 누구나
활동장소 : 동구마루(경양로 305번길 3, 산수동)
활동시간 : 2018. 8. 4.(토) 09:30~11:30(2시간)
활동내용 : 동구마루 마을 커뮤니티센터 지킴이 대청소 활동
유의사항 : 당일 봉사 취소 불가능
문    의 : 박기상(010-8655-3147) - 참여여부 문자나 전화요망
기    타 : 준비물-장갑,걸레(테이블이나 유리창청소용)",20180724,20180802,20180804 ~ 20180804,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,광주광역시,동구,1,37.681902,-95.44776800000001
14,인터넷 스마트폰 과의존예방해소사업 행정 보조 활동 봉사자 모집,영도구청소년상담복지센터,영도구청소년상담복지센터,"* 반드시 아래 내용을 다 읽고 참여의사가 확실한 분만 신청해 주시기 바랍니다.
 1. 활동일시: 2018. 8 . 6.(월) ~8.31.(금) *주1회 4시간, 봉사자가 가능한 요일 조율 가능.
 2. 활동내용: 인터넷 스마트폰 과의존예방해소사업 행정 보조 활동
     (온라인 시스템 내 실적 입력 및 서류 작성, 정리 등)
 3. 활동장소: 영도구청소년상담복지센터
 4. 모집인원: 1명(청소년, 교육, 상담, 복지 관련 학과 재학생 및 졸업생,대학생 우대)
 5. 문의: 영도구청소년상담복지센터, 담당자: 안나영(051-405-5224)
 6. 유의사항 필독 
   * 봉사 관련 긴급연락과 봉사시간 인증 등을 위해 1365 홈페이지 개인정보 연락처는 정확히 기입바랍니다.
   * 부득이하게 취소할 경우 꼭 전화 연락 부탁드립니다.",20180725,20180802,20180806 ~ 20180806,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,부산광역시,영도구,부산광역시 영도구 함지로79번길 6 영도어울림문화공원,35.0753352,129.0660111
15,(대학생 자원봉사자 모집) 경로당 어르신 대상 스마트폰 알려드리기,당진1동자원봉사거점센터,"벽산아파트 경로당, 푸르지오 아파트 경로당","  당진1동 새마을 부녀회에서 당진1동 경로당 어르신들 대상으로 스마트폰 사용법을  교육해드리는데
같이 동행하여 어르신들과  일대일로 스마트폰  사용법을  알려드리는 대학생 자원봉사자를  모집합니다.

- 봉사날짜 :  2018.  8. 9. (목요일)

- 봉사시간 : 오전 10시~ 12시 ( 봉사시간 2시간 인정)

- 봉사장소 :  벽산아파트 경로당,  푸르지오아파트 경로당

- 모집인원 :  대학생 10명 이내

- 봉사활동내용: 경로당에 방문하여 어르신들이 어려워 하시는 
                     문자 보내기, 카톡 메세지 보내기, 카메라 기능 익히기, 사진 전송 등  
                      스마트폰 사용법  알려드리기.

- 문  의 :  당진1동  자원봉사 거점센터 상담가  정경애   (H.P. 010-8844-0931)

* 대학 봉사단   단체 접수 대환영합니다.
",20180726,20180802,20180809 ~ 20180809,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,충청남도,당진시,충청남도 당진시 당진중앙1로 33 당진1동주민센터 ,36.893256799999996,126.62724569999999
16,지리산둘레길 8월 클린걷기,사단법인 숲길,지리산둘레길 구례센터(전남 구례군 구례읍 서신천로 106),"

 8월 클린걷기는 지리산권 환경과 생태를 보전하기 위해 우리가 실천할 수 있는 여러가지를 이야기해 보고자 합니다.
오랫동안 지리산의 환경을 지키기위해 노력하고 있는 분을 모셔서 좋은 말씀을 듣고 함께 실천할 수 있는 방안을 모색해보려 합니다. 
오후에는 폐현수막을 활용한 장바구니나 쓰레기 수거용 가방 등을 직접 만들어 보면서 비닐봉지 등 일회용품 사용을 자제하기 위한 실습도 곁들였습니다.


▶ 간단 일정 :
강연 및 이야기 나누기~점심식사~폐현수막을 활용한 장바구니 만들기

▶ 모이는 날짜 : 2018년 8월 4일(토)

▶ 모이는 시간 : 9시 50분 ~오후 3시

▶ 모이는 장소 : 지리산둘레길 구례센터(전남 구례군 구례읍 서신천로 106)

▶ 개별준비물 : 개인컵 필수~, 도시락 등

▶ 전화문의 : 055-884-0850
",20180727,20180802,20180804 ~ 20180804,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,경상남도,하동군,경상남도 하동군  중앙로 52-4 사단법인 숲길,35.071311200000004,127.74732079999998
17,"여름방학 재능기부 2차 특강(수학, 역사)",금당2리새마을회,소댕이작은도서관,"여름방학은 맞아 재능기부 특강을 제공할 봉사자를 모집합니다. 
해당기간 중 월, 수, 목요일에 2~3회로 수학 방정식과 한국 근현대사 과목 수업을 원합니다. 
신청 후 담당자에게 희망 과목(수학/역사)을 문자로 알려주기 바랍니다. 신청자 수와 희망 과목에 따라 사전에 시간 조율을 할 수 있습니다.
봉사시간은 3시간 내에 실제 수업활동 시간만큼 인정합니다. 금당리 경유 버스 시간을 꼭 확인하기 바라며, 여학생은 2명이 함께 들어오기 바랍니다.",20180730,20180802,20180806 ~ 20180817,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,경기도,여주시,경기도 여주시 가남읍 금당리길 103 ,37.207109100000004,127.61469939999999
18,위례동주민센터-성남시장 동 방문 인사회,위례동주민센터,위례한빛고등학교 시청각실,"## 학생 봉사활동의 최종 봉사 시간 인정여부는 학교장이 승인 / 사전에 학교에 문의하시고 진행하시길 바랍니다 ##


ㅇ 활동일시 : 2018. 8. 6.(월)  09:30~ 12:30  
ㅇ 활동장소 : 위례한빛고등학교 시청각실
ㅇ 신청대상 : 고등학생
ㅇ 활동내용 : 방문객 안내 및 장내 질서 유지 보조
ㅇ 문의 : 신명건 031-729-5953

",20180730,20180802,20180806 ~ 20180806,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,경기도,성남시,성남시 수정구 위례동로 91,37.4502462,127.1455402
19,충청대학교 사회봉사단 사회봉사[사전교육],충청대학교,충청대학교 R동 310호 학생서비스센터,"충청대학교 사회봉사단 사회봉사 [사전교육]

[봉사활동 신청 대상-충청대학교 간호학과, 미용예술과 재학생 중 학과에 신청한 학생]

사회봉사 실시 내용 및 방법 등 주의사항 교육

",20180731,20180802,20180802 ~ 20180802,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,충청북도,청주시,충청북도 청주시 흥덕구 강내면 월곡길 38 충청대학교 학생복지팀(R동 310호),36.6199069,127.36843030000001
20,대구출입국관리사무소 사회통합프로그램 3차 사전평가 시험장 안내,법무부대구출입국관리사무소,영남대학교 상경관 301호,"* 활동내용 : 사회통합프로그램 3차 사전평가 시험장안내 
* 활동일시 : 2018. 08. 04. (토) 10:00~16:00 
* 활동장소 : 영남대학교 상경관 301호 10시까지 
* 모집대상 : 20세 이상 40세 미만 
* 모집인원 : 5명
* 활동문의 : 대구출입국관리사무소 담당 허진경 T. 980-3558 
* 기타사항/준비사항: 단정한 옷차림, 성실한자세, 간단한 다과제공 (점심미제공)",20180731,20180802,20180804 ~ 20180804,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,대구광역시,동구,대구시 동구 동촌로 71,35.888757700000006,128.6501886
21,오픈더퓨처 - 수제비누만들기 - 한부모가정 어린이 후원,오픈더퓨처 대구사상,"대구시 서구 중리동44-11번지 1층 종이친구들 / 국채보상로 34안길 18 (네이버 "" 종이친구들""검색)","오픈더퓨처에서 후원하는 한부모가정 어린이들에게 전달할 사랑의 수제비누 만들기 봉사 참가자를 모집합니다. 
관심 있는 학생들과 일반봉사자분들의 참여를 기다립니다. 
봉사일시 : 2018.8.03 (금) / 오후3시 ~ 오후6시 (3시간) 
문의전화 : 010-3538-7283 / 문의시간 월~토 오전10시~오후6시-저희 봉사활동은 공익 목적으로 사용되는 기부후원금으로 운영됩니다. 
기부 후원금 : 10,000원 / 계좌 : 농협 351-0948-7355-63/오픈더퓨처 대구사상 
대상자 : 학생 및 일반봉사자분 15 명 
**신청방법** 
1. 1365사이트에서 신청하기. 
2.""오픈더퓨처"" 사이트 가입하신후 대구지부 봉사신청완료방법 모두 읽어 보기. 
3. 신청하기와 대구지부 공지내용 숙지하신다음 후원금 입금. 
(신청방법대로 이행 하지 않으신 분들은 봉사배치에 어려움이 있어 신청 반려되실수 있사오니 양해바랍니다.) 
* 꼭!! 참석하실수 있으신분들만 신청바라오며 중복신청 또한 모두 참여가능하실 경우 신청해 주시기 바랍니다. 
신청 취소나 날짜변경은 반드시 미리 연락 주셔야합니다!",20180731,20180802,20180803 ~ 20180803,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,대구광역시,서구,대구광역시 서구 국채보상로34안길 18 1층,35.8684864,128.5513859
22,찾아가는 청춘예술학교(민화부채 만들기 활동보조),강원도 고성군,고성군 토성면 까리따스노인복지센터,"○ 운영일시 : 2018. 8. 3(금) 13:00~15:30 
○ 운영장소 : 고성군 토성면 까리따스노인복지센터 
○ 참여대상 : 초등학생 이상 개인자원봉사자 및 자원봉사단체 
○ 활동내용 : 어르신 공예수업 활동보조(민화부채 만들기) 
○ 모집인원 : 일일 10명 
○ 기 타 : 센터차량지원 가능, 별도 준비물 없음

※ 13:00까지 고성군자원봉사센터 앞으로 오셔서 함께 출발하시면 됩니다!",20180731,20180802,20180803 ~ 20180803,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,강원도,고성군,강원도 고성군 간성읍 간성로 67번길 12 ,38.3826154,128.4656301
23,해외저개발국가아동을 위한 할리갈리 만들기 자원봉사,온시민수원성봉사센터,온시민수원성봉사센터 5층 대강당," 0. 봉사설명 : 동남아시아지역(방글라데시, 라오스, 캄보디아 등)과 아프리카지역(감비아, 가나 등) 현지 아동/청소년들에게 할리갈리를 만들어서 전달하는 봉사, 해외배송은 국제구호NGO단체인 ""기아대책""에서 전량 컨테이너 해외배송 담당 (만드는 방식 : 풀로 앞, 뒷면 카드 풀 붙이기-접착아스테이지로 손 코팅하고 카드 모양대로 가위로 자르기-영어편지쓰기(영어문장예문있음)-뒷정리하기-자원봉사출석표에 본인이름 쓰기-집으로) 1. 봉사기관 : 온시민 수원성 봉사센터(비영리법인으로보는기관) 2. 봉사장소 : 장안구 율전동 230-2 수원성 교회 교육관 5층 대강당(흰색6층빌딩으로 오셔서 엘리베이터 타시고 5층 내리셔서 좌측 입구로 들어오세요) 3. 봉사기간/시간 : 2018.8.1(수), 8.2(목), 8.3(금)까지/총 3회만 실시/매 회 09-12시(봉사실적 3시간씩 부여) 4. 등록안내 : 1365홈페이지봉사 신청 또는 현장으로 직접 봉사신청 가능 + 재료비/활동비 없습니다.(봉사참석 1회도 가능) 5. 문의 : 이용훈(010-3282-9999)",20180731,20180802,20180801 ~ 20180803,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,경기도,수원시,경기도 수원시 장안구 율전동 230-2 수원성교회내,37.3026223,126.968984
24,2018청소년자원봉사학교 운영지원(성인)/수어교실 및 가족교육,천안시자원봉사센터,천안시자원봉사센터,"2018청소년자원봉사학교 운영지원(성인)/수어교실 및 가족교육
일  시  08.02.(목)~08.03.(금) 09:00~12:00(3시간) 
장  소  천안시자원봉사센터(동남구 신촌로 24 1층/신방동홈플러스 주차장출구방향)
인  원  성인 2명
내  용  청소년자원봉사학교 프로그램 운영지원
기  타 
-점심식사 지원x
-모집이 종료되는 경우 현 화면이 보이지 않음, 화면을 캡쳐하거나 사진을 찍어 둘 것.
-활동공지 등 연락을 위해 1365개인정보에 연락 가능한 연락처 기입요망
-활동신청 후 개인사정으로 불참할 경우 미리 전화로 취소
 (☏041-521-2319/☏041-567-8694)
",20180716,20180802,20180802 ~ 20180803,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,충청남도,천안시,"충청남도 천안시 동남구 신촌로 24(신방동, 천안산업기자재유통단지 1층) 천안시자원봉사센터",36.8188505,127.11514369999999
