,제목,활동처명,활동장소,봉사내용,모집 시작일,모집 마감일,활동 기간,생활 편의,국제 협력,환경,인권,재해/재난,농어촌,주거 환경,보건 의료,교육,행정 지원,상담,문화,체육,역사,동아리,여행,홍보,사회공헌,기획,언어,현장,기타,장애인,노인,외국인,노숙인,다문화가정,노동자,유아,여성,쪽방촌,청소년,지역사회,광역시/도,시/군/구,주소,위도,경도
10,문화가 있는 날 영화관람 안내.질서 및 편의서비스,동두천생활문화센터,동광극장,문화가 있는 날 영화관람 안내.질서 및 편의서비스 자원봉사자를 모집합니다.기간: 8월29일(당일) 오후5시~9시,20180807,20180816,20180829 ~ 20180829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Gyeonggi-do,Dongducheon,"828 Jungang-dong, Dongducheon, Gyeonggi-do, South Korea",37.9087996,127.0519809
11,2018 프리테니스와 함께하는 청소년사랑더하기 6기 프로그램 봉사자 모집 <가양레포츠센터 실내체육관>,사단법인 한국프리테니스협회,서울시 강서구 가양동 1493 가양레포츠센터 실내체육관,- 2018 프리테니스와 함께하는 청소년사랑더하기 6기 프로그램 봉사자 모집 <가양레포츠센터 실내체육관>- 후원 : 재단법인 데상트스포츠재단- 지원 : 사랑의열매 사회복지공동모금회- 주관 : 사)한국프리테니스협회- 6기 사랑더하기 프로그램 일시: 2018년 7월 31일 ~ 8월 23일까지 <총8회차><봉사자 모집은 주마다 모집할 계획>- 봉사 시간 8월 7 // 8월 9일 봉사 일시간 파트별로 신청 가능(EX : 7일 1~2파트 신청합니다  9일 1파트,20180807,20180816,20180807 ~ 20180809,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Seoul,Gangseo-gu,"1493 Gayang 3(sam)-dong, Gangseo-gu, Seoul, South Korea",37.5596371,126.8644121
12,2018 프리테니스와 함께하는 청소년사랑더하기 5기 프로그램 봉사자 모집 <한국프리테니스협회 트레이닝센터>,사단법인 한국프리테니스협회,서울 강서구 강서로5길 50 곰달래문화복지센터,- 2018 프리테니스와 함께하는 청소년사랑더하기 5기 프로그램 봉사자 모집 <한국프리테니스협회 트레이닝센터>- 후원 : 재단법인 데상트스포츠재단- 지원 : 사랑의열매 사회복지공동모금회- 주관 : 사)한국프리테니스협회- 사랑더하기 프로그램 일시: 2018년 7월 24일 ~ 8월 16일까지 <총8회차><봉사자 모집은 주마다 모집할 계획>- 봉사 시간 8월 7일 // 8월 9일 일시간 파트별로 신청 가능(EX : 7일 1~2파트 신청합니다  9일 1파트 신,20180807,20180816,20180807 ~ 20180809,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Seoul,Gangseo-gu,"50 Gangseo-ro 5-gil, Hwagok 8(pal)-dong, Gangseo-gu, Seoul, South Korea",37.5289008,126.8488134
13,익산문화예술의거리 토요상설프로그램 진행,(재)익산문화재단,전라북도 익산시 중앙동 문화예술의거리,오후 4시부터 저녁 9시까지 진행되는 토요상설프로그램 '놀토' 행사 운영 및 진행보조인력을 모집합니다.,20180807,20180816,20180804 ~ 20180804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Jeollabuk-do,Iksan,"56 Pyeonghwa-dong, Iksan, Jeollabuk-do, South Korea",35.9351209,126.9466835
14,사무관리. 행정,동두천생활문화센터,동두천생활문화센터,동두천생활문화센터에서 사무관리.행정에 자원봉사자를 모집합니다.기간:8월1일~31일(월~금) 오전 9시~오후6시까지,20180801,20180820,20180801 ~ 20180831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Gyeonggi-do,Dongducheon,"722-1 Jihaeng-dong, Dongducheon, Gyeonggi-do, South Korea",37.890802,127.053175
15,작은도서관 봉사활동,다솔도서관,도서관 내외,작은도서관 봉사활동,20180801,20180820,20180811 ~ 20180811,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Chungcheongnam-do,Cheonan,"156 Beon yeong-ro, Buldang-dong, Seobuk-gu, Cheonan, Chungcheongnam-do, South Korea",36.8156927,127.1136868
16,작은도서관 봉사활동,다솔도서관,도서관 내외,초등 중등 고등학생을 중심으로 독서지도 학과지도 생활지도 등에 참여합니다,20180801,20180820,20180805 ~ 20180805,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Chungcheongnam-do,Cheonan,"156 Beon yeong-ro, Buldang-dong, Seobuk-gu, Cheonan, Chungcheongnam-do, South Korea",36.8156927,127.1136868
17,작은도서관 봉사활동,다솔도서관,도서관 내외,초등 중등 고등학생을 중심으로 독서지도 학과지도 생활지도 등에 참여합니다,20180801,20180820,20180804 ~ 20180804,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Chungcheongnam-do,Cheonan,"156 Beon yeong-ro, Buldang-dong, Seobuk-gu, Cheonan, Chungcheongnam-do, South Korea",36.8156927,127.1136868
18,작은도서관 봉사활동,다솔도서관,도서관 내외,초등 중등 고등학생을 중심으로 독서지도 학과지도 생활지도 등에 참여합니다,20180801,20180820,20180812 ~ 20180812,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Chungcheongnam-do,Cheonan,"156 Beon yeong-ro, Buldang-dong, Seobuk-gu, Cheonan, Chungcheongnam-do, South Korea",36.8156927,127.1136868
19,작은도서관 봉사활동,다솔도서관,도서관 내외,초등 중등 고등학생을 중심으로 독서지도 학과지도 생활지도 등에 참여합니다,20180801,20180820,20180819 ~ 20180819,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Chungcheongnam-do,Cheonan,"156 Beon yeong-ro, Buldang-dong, Seobuk-gu, Cheonan, Chungcheongnam-do, South Korea",36.8156927,127.1136868
20,작은도서관 봉사활동,다솔도서관,도서관 내외,초등 중등 고등학생을 중심으로 독서지도 학과지도 생활지도 등에 참여합니다,20180801,20180820,20180826 ~ 20180826,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Chungcheongnam-do,Cheonan,"156 Beon yeong-ro, Buldang-dong, Seobuk-gu, Cheonan, Chungcheongnam-do, South Korea",36.8156927,127.1136868
21,놀이를 통한 문화나눔,사하구다문화가족지원센터,사하구다문화가족지원센터,다문화/비다문화 자녀들에게 놀이를 통한 문화나눔 활동,20180801,20180820,20180809 ~ 20180823,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Busan,Saha-gu,"266 Sinpyeong 1(il)-dong, Saha-gu, Busan, South Korea",35.0916186,128.9735424
22,복지관 성인 발달장애인 체육프로그램 진행 전문봉사자 모집,하남시장애인복지관,복지관 내,"안녕하십니까? 소통과 섬김으로 나눔을 실천하는 하남시장애인복지관입니다.하남시장애인복지관에서는 성인 지적 및 자폐성 발달장애인의 체육활동 프로그램""진행""이 가능하신 전문봉사자를 모집하고 있습니다.전문자원봉사자분들의 적극적인 손길을 기다리고 있습니다. 많이많이 신청해주세요~!!모집 분야 : 장애인 체육활동 진행모집 인원 : 0명모집 대상 : 성인 / 체육 활동 진행 가능자모집 기간 : 상시활동 기간 : ~ 2018. 12. 31.(기간 협의가능)활동 요일 : 월 화 목 중 가능한 요일활동 시간 : 13:00~14:00 (다른 시간 가능 시 협의 가능)활동 내용 : 성인 지적 및 자폐성 발달장애인(현재 7인) 체육활동 프로그램 진행(실내에서 가능한 활동. 요가 스트레칭 놀이운동 등)활동 장소 : 복지관 내",20180801,20180820,20180801 ~ 20181231,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,경기도,하남시,경기도 하남시 풍산동 148-9,37.5592159,127.1878031
23,작은도서관 봉사활동,다솔도서관,도서관 내외,초등 중등 고등학생을 중심으로 독서지도 학과지도 생활지도 등에 참여합니다,20180801,20180818,20180818 ~ 20180818,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Chungcheongnam-do,Cheonan,"156 Beon yeong-ro, Buldang-dong, Seobuk-gu, Cheonan, Chungcheongnam-do, South Korea",36.8156927,127.1136868
24,문화원 소장 자료 분류 및 정리,동대문문화원,동대문문화원,문화원에 소장된 도서 자료등을 분류 및 정리 하는 작업 입니다.,20180801,20180818,20180820 ~ 20180824,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Seoul,Dongdaemun-gu,"산2-121 Dapsimni-dong, Dongdaemun-gu, Seoul, South Korea",37.5717857,127.0637388
25,문화 놀이터,윈바신갈지역아동센터,윈바신갈지역아동센터,'소외계층 자녀의 문화감수성 증진과 원활한 커뮤니케이션 형성에 기여하고 봉사자 또한 상호 존중과 이해를 배운다.' 라는 목표를 바탕으로 아이들을 도와줄 수 있는 일을 한다.,20180801,20180818,20180811 ~ 20180811,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Gyeonggi-do,Yongin-si,"52-19 Singal-dong, Giheung-gu, Yongin-si, Gyeonggi-do, South Korea",37.2731841,127.1077707
26,아리향기 작은도서관에서 청소년 자원봉사자를 모집합니다.,강서구립 아리향기작은도서관,강서구 염창동 아리향기작은도서관,내용 : 서가정리봉사 시간 : 1시간~2시간대상 : 관내 청소년,20180801,20180818,20180730 ~ 20180831,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Seoul,Gangseo-gu,"281-25 Yeomchang-dong, Gangseo-gu, Seoul, South Korea",37.5472853,126.8733136
27,아동들에게 토요프로그램을 제공하기 위한 기획 및 수업을 진행할 자원봉사자를 모집합니다.,무지개지역아동센터,센터 내 교실,자원봉사자들이 기획한 프로그램으로 아동들과 함께 수업을 진행하시면 좋겠습니다.,20180725,20180727,20180728 ~ 20180929,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Seoul,Dobong-gu,"116 Banghak-ro 3-gil, Ssangmun-dong, Dobong-gu, Seoul, South Korea",37.6581961,127.0383641
28,2018 충북종단대장정 행사진행 봉사자 모집,충북영동군체육회,영동용두공원,충북종댄대장정 원활한 행사진행을 위해 봉사자를 모집합니다.봉사일시' 2018/07/30봉사시간' 행사당일 09'00 ~ 17'00 (8시간)중식제공봉사업무' 행사진행보조모집인원' 최대 5명,20180725,20180727,20180730 ~ 20180730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Chungcheongbuk-do,Yeongdong-gun,"Yeongdong-gun, Chungcheongbuk-do, South Korea",36.1750231,127.7834302
29,2018 프리테니스와 함께하는 청소년사랑더하기 6기 프로그램 봉사자 모집 <가양레포츠센터 실내체육관>,사단법인 한국프리테니스협회,서울시 강서구 가양동 1493 가양레포츠센터 실내체육관,- 2018 프리테니스와 함께하는 청소년사랑더하기 6기 프로그램 봉사자 모집 <가양레포츠센터 실내체육관>- 후원 : 재단법인 데상트스포츠재단- 지원 : 사랑의열매 사회복지공동모금회- 주관 : 사)한국프리테니스협회- 사랑더하기 프로그램 일시: 2018년 7월 31일 ~ 8월 23일까지 <총8회차><봉사자 모집은 주마다 모집할 계획><7월 31일  8월 2일  7일  9일  14일  16일  21일  23일 총 8회 수업>- 시간 : 오전 10:00 - 1,20180725,20180727,20180731 ~ 20180802,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Seoul,Gangseo-gu,"1493 Gayang 3(sam)-dong, Gangseo-gu, Seoul, South Korea",37.5596371,126.8644121
